,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
51,,,CUX1,,,,PSMB6,,GSN,,,,,,,,,,CASP9,,,,FBXO32,,,,,,,,
52,,,ERCC1,,,,RBL2,,SDC1,,,,,,,,,,CD58,,,,AMACR,,,,,,,,
53,,,MAP1LC3A,,,,RELA,,BMP4,,,,,,,,,,COL7A1,,,,RHOB,,,,,,,,
54,,,MAPK8,,,,RPIA,,ANGPT2,,,,,,,,,,CREB3,,,,ITGB2,,,,,,,,
55,,,PTPRO,,,,SCD,,ERCC2,,,,,,,,,,CSNK2A1,,,,MDK,,,,,,,,
56,,,RASGEF1B,,,,SEMA3F,,RECK,,,,,,,,,,ERAP2,,,,EGFR,,,,,,,,
57,,,RRP1B,,,,SLC16A1,,SRC,,,,,,,,,,F8,,,,RARG,,,,,,,,
58,,,PA2G4,,,,TKT,,SLC11A2,,,,,,,,,,FAF1,,,,VDR,,,,,,,,
59,,,RELA,,,,TMEM47,,LOX,,,,,,,,,,GADD45G,,,,,,,,,,,,
60,,,ATG10,,,,TRAF2,,GPER1,,,,,,,,,,GSK3B,,,,,,,,,,,,
61,,,ATG4A,,,,WNT4,,GAPDH,,,,,,,,,,HAX1,,,,,,,,,,,,
62,,,ATG7,,,,SMURF1,,NCOR2,,,,,,,,,,HBEGF,,,,,,,,,,,,
63,,,YBX3,,,,IDH1,,ATP5IF1,,,,,,,,,,HDAC7,,,,,,,,,,,,
64,,,DYRK1A,,,,FBXO32,,DDX3X,,,,,,,,,,IGF2BP2,,,,,,,,,,,,
65,,,FGFR2,,,,TGFB1,,LRP1,,,,,,,,,,KDM2A,,,,,,,,,,,,
66,,,GAB2,,,,ACACA,,HSF1,,,,,,,,,,LTC4S,,,,,,,,,,,,
67,,,GABARAPL1,,,,CASP9,,SLC22A5,,,,,,,,,,MICA,,,,,,,,,,,,
68,,,MAP1LC3B,,,,DDX5,,NDRG1,,,,,,,,,,NCAM1,,,,,,,,,,,,
69,,,MAPK1,,,,PPA1,,ATP13A2,,,,,,,,,,NCOR2,,,,,,,,,,,,
70,,,MCM7,,,,GALNT14,,XPA,,,,,,,,,,NFKBIZ,,,,,,,,,,,,
71,,,TOP1,,,,NDNF,,LPIN1,,,,,,,,,,NLRP2,,,,,,,,,,,,
72,,,ZEB1,,,,MCM3AP,,ARC,,,,,,,,,,NOLC1,,,,,,,,,,,,
73,,,KRT10,,,,,,PC,,,,,,,,,,PPIG,,,,,,,,,,,,
74,,,TRAF2,,,,,,IL11,,,,,,,,,,PSMB10,,,,,,,,,,,,
75,,,SUZ12,,,,,,PROM1,,,,,,,,,,PTEN,,,,,,,,,,,,
76,,,CALR,,,,,,GPR35,,,,,,,,,,PTPN13,,,,,,,,,,,,
77,,,,,,,,,PRMT1,,,,,,,,,,RRM2B,,,,,,,,,,,,
78,,,,,,,,,FSCN1,,,,,,,,,,SDC1,,,,,,,,,,,,
79,,,,,,,,,PRDX3,,,,,,,,,,SLC9A2,,,,,,,,,,,,
80,,,,,,,,,HSP90AB1,,,,,,,,,,STK39,,,,,,,,,,,,
81,,,,,,,,,E2F3,,,,,,,,,,TAPBP,,,,,,,,,,,,
82,,,,,,,,,ENO1,,,,,,,,,,TNFAIP3,,,,,,,,,,,,
83,,,,,,,,,HBEGF,,,,,,,,,,XIAP,,,,,,,,,,,,
84,,,,,,,,,MICA,,,,,,,,,,AKR1B1,,,,,,,,,,,,
85,,,,,,,,,MUC3A,,,,,,,,,,BMP4,,,,,,,,,,,,
86,,,,,,,,,PIK3CA,,,,,,,,,,CD4,,,,,,,,,,,,
87,,,,,,,,,PPARA,,,,,,,,,,HSPA1A,,,,,,,,,,,,
88,,,,,,,,,SLC29A1,,,,,,,,,,HSPA1B,,,,,,,,,,,,
