,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
50,,,"{'CTNNBIP1', 2.296267464800788}",,,,"{0.46363045203528963, 'PIGQ'}",,"{0.16136122316583015, 'PARK7'}",,,,,,,,,,"{0.08152624716404873, 'BIRC2'}",,,,"{0.5561050786399678, 'NR1D1'}",,,,,,,,
51,,,"{'CUX1', 0.41296254462453}",,,,"{'PSMB6', 0.38890761312802347}",,"{'GSN', 1.0027676478072522}",,,,,,,,,,"{0.6377360324823113, 'CASP9'}",,,,"{1.1521092797415342, 'FBXO32'}",,,,,,,,
52,,,"{0.20653736382325236, 'ERCC1'}",,,,"{0.12568494301153849, 'RBL2'}",,"{1.1418280830263927, 'SDC1'}",,,,,,,,,,"{0.9062552782583126, 'CD58'}",,,,"{0.7640068032120787, 'AMACR'}",,,,,,,,
53,,,"{0.13676475639113342, 'MAP1LC3A'}",,,,"{'RELA', 0.35183175359990176}",,"{0.7627537860483102, 'BMP4'}",,,,,,,,,,"{'COL7A1', 0.37849887741412014}",,,,"{'RHOB', 0.22371099177840723}",,,,,,,,
54,,,"{0.4912776759793724, 'MAPK8'}",,,,"{0.48928456891462563, 'RPIA'}",,"{0.3221915009655523, 'ANGPT2'}",,,,,,,,,,"{0.3109942599255679, 'CREB3'}",,,,"{0.2732649551353071, 'ITGB2'}",,,,,,,,
55,,,"{1.1935300054169138, 'PTPRO'}",,,,"{'SCD', 1.2750709163440226}",,"{0.013795316736092968, 'ERCC2'}",,,,,,,,,,"{0.21318920300259142, 'CSNK2A1'}",,,,"{1.431736329623838, 'MDK'}",,,,,,,,
56,,,"{0.1105633818752586, 'RASGEF1B'}",,,,"{'SEMA3F', 3.131433319664753}",,"{1.5211060990959333, 'RECK'}",,,,,,,,,,"{0.09393164406014655, 'ERAP2'}",,,,"{1.1077851651597876, 'EGFR'}",,,,,,,,
57,,,"{0.20787317389042942, 'RRP1B'}",,,,"{1.3148720002905228, 'SLC16A1'}",,"{0.8297454117403608, 'SRC'}",,,,,,,,,,"{0.9991117026841932, 'F8'}",,,,"{0.32013586298323377, 'RARG'}",,,,,,,,
58,,,"{0.07958881089135758, 'PA2G4'}",,,,"{0.5377583636610344, 'TKT'}",,"{0.13429684093600427, 'SLC11A2'}",,,,,,,,,,"{0.1919578760136647, 'FAF1'}",,,,"{'VDR', 2.201870378707813}",,,,,,,,
59,,,"{'RELA', 0.35183175359990176}",,,,"{0.45115469750322085, 'TMEM47'}",,"{2.7312249384351537, 'LOX'}",,,,,,,,,,"{'GADD45G', 0.5623227136449251}",,,,,,,,,,,,
